"","x"
"2082",1
"2083",10
"2084",22
"2085",41
"2086",13
"2087",19
"2088",10
"2089",9
"2090",17
"2091",21
"2092",13
"2093",17
"2094",8
"2095",59
"2096",32
"2097",0
"2098",15
"2099",0
"2100",57
"2101",20
"2102",44
"2103",15
"2104",13
"2105",8
"2106",4
"2107",11
"2108",34
"2109",1
"2110",23
"2111",14
"2112",27
"2113",43
"2114",0
"2115",18
"2116",15
"2117",8
"2118",15
"2119",60
"2120",15
"2121",2
"2122",65
"2123",14
"2124",12
"2125",20
"2126",107
"2127",0
"2128",15
"2129",16
"2130",0
"2131",12
"2132",2
"2133",18
"2134",28
"2135",42
"2136",8
"2137",19
"2138",14
"2139",0
"2140",26
"2141",43
"2142",11
"2143",2
"2144",22
"2145",10
"2146",37
"2147",18
"2148",3
"2149",21
"2150",6
"2151",7
"2152",18
"2153",0
"2154",63
"2155",48
"2156",30
"2157",86
"2158",16
"2159",14
"2160",8
"2161",25
"2162",43
"2163",24
"2164",20
"2165",17
"2166",12
"2167",27
"2168",6
"2169",20
"2170",47
"2171",0
"2172",47
"2173",11
"2174",13
"2175",0
"2176",30
"2177",74
"2178",28
"2179",10
"2180",21
"2181",12
"2182",26
"2183",9
"2184",10
"2185",33
"2186",47
"2187",19
"2188",67
"2189",0
"2190",9
"2191",64
"2192",10
"2193",30
"2194",22
"2195",19
"2196",7
"2197",0
"2198",18
"2199",17
"2200",1
"2201",19
"2202",33
"2203",0
"2204",18
"2205",40
"2206",15
"2207",21
"2208",62
"2209",16
"2210",27
"2211",19
"2212",6
"2213",51
"2214",8
"2215",29
"2216",37
"2217",16
"2218",63
"2219",19
"2220",22
"2221",15
"2222",8
"2223",34
"2224",23
"2225",22
"2226",22
"2227",18
"2228",27
"2229",28
"2230",15
"2231",27
"2232",18
"2233",17
"2234",19
"2235",14
"2236",33
"2237",26
"2238",25
"2239",12
"2240",20
"2241",55
"2242",7
"2243",14
"2244",20
"2245",13
"2246",55
"2247",35
"2248",23
"2249",26
"2250",14
"2251",0
"2252",26
"2253",11
"2254",16
"2255",12
"2256",15
"2257",34
"2258",17
"2259",17
"2260",52
"2261",32
"2262",35
"2263",11
"2264",45
"2265",52
"2266",63
"2267",35
"2268",219
"2269",19
"2270",6
"2271",26
"2272",38
"2273",18
"2274",29
"2275",39
"2276",28
"2277",16
"2278",6
"2279",30
"2280",13
"2281",10
"2282",22
"2283",20
"2284",22
"2285",61
"2286",30
"2287",18
"2288",54
"2289",34
"2290",32
"2291",0
"2292",19
"2293",30
"2294",43
"2295",20
"2296",54
"2297",31
"2298",34
"2299",19
"2300",26
"2301",33
"2302",60
"2303",32
"2304",25
"2305",47
"2306",25
"2307",21
"2308",41
"2309",10
"2310",14
"2311",35
"2312",0
"2313",19
"2314",32
"2315",0
"2316",43
"2317",18
"2318",24
"2319",25
"2320",13
"2321",13
"2322",44
"2323",14
"2324",17
"2325",24
"2326",20
"2327",70
"2328",88
"2329",13
"2330",98
"2331",19
"2332",28
"2333",3
"2334",9
"2335",27
"2336",19
"2337",22
"2338",24
"2339",39
"2340",21
"2341",85
"2342",26
"2343",33
"2344",0
"2345",0
"2346",11
"2347",28
"2348",28
"2349",0
"2350",13
"2351",12
"2352",41
"2353",33
"2354",27
"2355",16
"2356",22
"2357",39
"2358",25
"2359",30
"2360",25
"2361",37
"2362",44
"2363",31
"2364",23
"2365",13
"2366",30
"2367",17
"2368",48
"2369",27
"2370",23
"2371",18
"2372",17
"2373",26
"2374",19
"2375",17
"2376",20
"2377",15
"2378",17
"2379",16
"2380",28
"2381",45
"2382",14
"2383",25
"2384",13
"2385",0
"2386",9
"2387",11
"2388",9
"2389",15
"2390",32
"2391",42
"2392",24
"2393",28
"2394",19
"2395",47
"2396",7
"2397",0
"2398",50
"2399",20
"2400",18
"2401",78
"2402",19
"2403",8
"2404",19
"2405",11
"2406",46
"2407",49
"2408",51
"2409",0
"2410",40
"2411",0
"2412",28
"2413",35
"2414",43
"2415",25
"2416",16
"2417",43
"2418",29
"2419",18
"2420",50
"2421",22
"2422",11
"2423",46
"2424",43
"2425",120
"2426",23
"2427",24
"2428",45
"2429",90
"2430",9
"2431",18
"2432",22
"2433",96
"2434",24
"2435",29
"2436",18
"2437",29
"2438",181
"2439",34
"2440",38
"2441",85
"2442",39
"2443",29
"2444",23
"2445",22
"2446",26
"2447",10
"2448",42
"2449",23
"2450",0
"2451",0
"2452",30
"2453",26
"2454",30
"2455",40
"2456",12
"2457",33
"2458",13
"2459",29
"2460",7
"2461",10
"2462",25
"2463",26
"2464",14
"2465",20
"2466",51
"2467",18
"2468",60
"2469",62
"2470",18
"2471",34
"2472",16
"2473",29
"2474",11
"2475",19
"2476",30
"2477",64
"2478",20
